"Quarter_Year","Category","Count"
"2010 Q1","F1",1740.52
"2010 Q1","F2",2145.46
"2010 Q1","F3",2511.49
"2010 Q1","FC",99.87
"2010 Q1","MA",19.9
"2010 Q1","No Active Offense",5.52
"2010 Q1","S",35.86
"2010 Q2","F1",1750.59
"2010 Q2","F2",2192.58
"2010 Q2","F3",2540.26
"2010 Q2","FC",98.86
"2010 Q2","MA",20.81
"2010 Q2","No Active Offense",6.95
"2010 Q2","S",36.99
"2010 Q3","F1",1769.11
"2010 Q3","F2",2231.35
"2010 Q3","F3",2556.61
"2010 Q3","FC",98.6
"2010 Q3","MA",17.9
"2010 Q3","No Active Offense",6.54
"2010 Q3","S",37.99
"2010 Q4","F1",1791.55
"2010 Q4","F2",2239.8
"2010 Q4","F3",2625.8
"2010 Q4","FC",97.42
"2010 Q4","MA",13.38
"2010 Q4","No Active Offense",8.18
"2010 Q4","S",37.43
"2011 Q1","F1",1812.96
"2011 Q1","F2",2233.69
"2011 Q1","F3",2623.69
"2011 Q1","FC",97
"2011 Q1","MA",11.43
"2011 Q1","No Active Offense",8.77
"2011 Q1","S",36.53
"2011 Q2","F1",1825.12
"2011 Q2","F2",2239.27
"2011 Q2","F3",2601.57
"2011 Q2","FC",97
"2011 Q2","MA",9.1
"2011 Q2","No Active Offense",8.1
"2011 Q2","S",33.93
"2011 Q3","F1",1844.85
"2011 Q3","F2",2244.77
"2011 Q3","F3",2530.53
"2011 Q3","FC",97.49
"2011 Q3","MA",6.5
"2011 Q3","No Active Offense",8.68
"2011 Q3","S",33
"2011 Q4","F1",1857.03
"2011 Q4","F2",2245.79
"2011 Q4","F3",2564.99
"2011 Q4","FC",97.4
"2011 Q4","MA",4.08
"2011 Q4","No Active Offense",10.08
"2011 Q4","S",32.72
"2012 Q1","F1",1862.75
"2012 Q1","F2",2265.73
"2012 Q1","F3",2589.64
"2012 Q1","FC",97
"2012 Q1","MA",2.86
"2012 Q1","No Active Offense",9
"2012 Q1","S",33.08
"2012 Q2","F1",1890.29
"2012 Q2","F2",2276.14
"2012 Q2","F3",2544.79
"2012 Q2","FC",97
"2012 Q2","MA",3.21
"2012 Q2","No Active Offense",9.51
"2012 Q2","S",31.32
"2012 Q3","F1",1909.15
"2012 Q3","F2",2287.42
"2012 Q3","F3",2525.13
"2012 Q3","FC",96.57
"2012 Q3","MA",5.21
"2012 Q3","No Active Offense",9.5
"2012 Q3","S",30.1
"2012 Q4","F1",1931.76
"2012 Q4","F2",2318.97
"2012 Q4","F3",2552.47
"2012 Q4","FC",97
"2012 Q4","MA",6.26
"2012 Q4","No Active Offense",6.3
"2012 Q4","S",29.97
"2013 Q1","F1",1940.1
"2013 Q1","F2",2321.03
"2013 Q1","F3",2540.51
"2013 Q1","FC",97.31
"2013 Q1","MA",6.84
"2013 Q1","No Active Offense",6.29
"2013 Q1","S",27.8
"2013 Q2","F1",1948.87
"2013 Q2","F2",2371.41
"2013 Q2","F3",2586.38
"2013 Q2","FC",96.02
"2013 Q2","MA",8.48
"2013 Q2","No Active Offense",4.11
"2013 Q2","S",28.62
"2013 Q3","F1",1950.03
"2013 Q3","F2",2405.74
"2013 Q3","F3",2624.71
"2013 Q3","FC",95.89
"2013 Q3","MA",8.8
"2013 Q3","No Active Offense",6.02
"2013 Q3","S",28.84
"2013 Q4","F1",1957.91
"2013 Q4","F2",2409.6
"2013 Q4","F3",2622.77
"2013 Q4","FC",96
"2013 Q4","MA",9
"2013 Q4","No Active Offense",6.53
"2013 Q4","S",29.7
"2014 Q1","F1",1970.42
"2014 Q1","F2",2392.08
"2014 Q1","F3",2521.34
"2014 Q1","FC",96.61
"2014 Q1","MA",7.52
"2014 Q1","No Active Offense",6.56
"2014 Q1","S",28.94
"2014 Q2","F1",1974.85
"2014 Q2","F2",2397.95
"2014 Q2","F3",2506.49
"2014 Q2","FC",95.87
"2014 Q2","MA",8.09
"2014 Q2","No Active Offense",7.41
"2014 Q2","S",29.74
"2014 Q3","F1",1990.62
"2014 Q3","F2",2399.17
"2014 Q3","F3",2460.26
"2014 Q3","FC",95
"2014 Q3","MA",8.28
"2014 Q3","No Active Offense",9.46
"2014 Q3","S",31.02
"2014 Q4","F1",1993.84
"2014 Q4","F2",2410.11
"2014 Q4","F3",2448.61
"2014 Q4","FC",95
"2014 Q4","MA",6.9
"2014 Q4","No Active Offense",9.45
"2014 Q4","S",34.24
"2015 Q1","F1",1997.93
"2015 Q1","F2",2345.21
"2015 Q1","F3",2358.1
"2015 Q1","FC",95
"2015 Q1","MA",8.47
"2015 Q1","No Active Offense",11.09
"2015 Q1","S",34.93
"2015 Q2","F1",1996.53
"2015 Q2","F2",2339.18
"2015 Q2","F3",2279.18
"2015 Q2","FC",94.37
"2015 Q2","MA",11.14
"2015 Q2","No Active Offense",9.81
"2015 Q2","S",36.47
"2015 Q3","F1",2002.54
"2015 Q3","F2",2310.67
"2015 Q3","F3",2248.24
"2015 Q3","FC",94
"2015 Q3","MA",9
"2015 Q3","No Active Offense",9.26
"2015 Q3","S",36.21
"2015 Q4","F1",1995.85
"2015 Q4","F2",2267.11
"2015 Q4","F3",2160.86
"2015 Q4","FC",94
"2015 Q4","MA",9.76
"2015 Q4","No Active Offense",8.78
"2015 Q4","S",34.66
"2016 Q1","F1",1995.1
"2016 Q1","F2",2235.65
"2016 Q1","F3",2031.14
"2016 Q1","FC",94
"2016 Q1","MA",12.6
"2016 Q1","No Active Offense",7.71
"2016 Q1","S",34.27
"2016 Q2","F1",2000.43
"2016 Q2","F2",2231.64
"2016 Q2","F3",1943.71
"2016 Q2","FC",93.55
"2016 Q2","MA",10.77
"2016 Q2","No Active Offense",9.33
"2016 Q2","S",35.56
"2016 Q3","F1",2004.34
"2016 Q3","F2",2221.22
"2016 Q3","F3",1872.65
"2016 Q3","FC",93.01
"2016 Q3","MA",8.36
"2016 Q3","No Active Offense",6.68
"2016 Q3","S",34.51
"2016 Q4","F1",2023.95
"2016 Q4","F2",2222.02
"2016 Q4","F3",1843.05
"2016 Q4","FC",94
"2016 Q4","MA",6.17
"2016 Q4","No Active Offense",4
"2016 Q4","S",34.24
"2017 Q1","F1",2033.98
"2017 Q1","F2",2205.68
"2017 Q1","F3",1820.88
"2017 Q1","FC",94.32
"2017 Q1","MA",4.12
"2017 Q1","No Active Offense",4
"2017 Q1","S",34
"2017 Q2","F1",2051.88
"2017 Q2","F2",2268.86
"2017 Q2","F3",1841.75
"2017 Q2","FC",95
"2017 Q2","MA",9.04
"2017 Q2","No Active Offense",4.09
"2017 Q2","S",34
"2017 Q3","F1",2056.47
"2017 Q3","F2",2276.43
"2017 Q3","F3",1861.41
"2017 Q3","FC",93.7
"2017 Q3","MA",9.18
"2017 Q3","No Active Offense",3.64
"2017 Q3","S",34
"2017 Q4","F1",2051.01
"2017 Q4","F2",2297.66
"2017 Q4","F3",1875.22
"2017 Q4","FC",91.43
"2017 Q4","MA",7.95
"2017 Q4","No Active Offense",1.57
"2017 Q4","S",34
"2018 Q1","F1",2060.4
"2018 Q1","F2",2338.91
"2018 Q1","F3",1914.8
"2018 Q1","FC",91
"2018 Q1","MA",9.51
"2018 Q1","No Active Offense",1
"2018 Q1","S",33.5
"2018 Q2","F1",2072.56
"2018 Q2","F2",2303.29
"2018 Q2","F3",1949.26
"2018 Q2","FC",90.33
"2018 Q2","MA",10.97
"2018 Q2","No Active Offense",1
"2018 Q2","S",33.35
"2018 Q3","F1",2091.45
"2018 Q3","F2",2325.21
"2018 Q3","F3",2022.45
"2018 Q3","FC",89.39
"2018 Q3","MA",7.61
"2018 Q3","No Active Offense",0.4
"2018 Q3","S",32.11
"2018 Q4","F1",2105.38
"2018 Q4","F2",2361.04
"2018 Q4","F3",2027.11
"2018 Q4","FC",88.67
"2018 Q4","MA",8.43
"2018 Q4","S",31.88
"2019 Q1","F1",2124.96
"2019 Q1","F2",2401
"2019 Q1","F3",2041.82
"2019 Q1","FC",88
"2019 Q1","MA",8.39
"2019 Q1","S",31.93
"2019 Q2","F1",2142.67
"2019 Q2","F2",2412.22
"2019 Q2","F3",2089.79
"2019 Q2","FC",88.93
