"Quarter_Year","Category","Count"
"2010 Q1","ALCOHOL & DRUG",578.01
"2010 Q1","DRIVING",323.64
"2010 Q1","DRUG POSSESSION ONLY",334.73
"2010 Q1","MURDER",648.61
"2010 Q1","No Active Offense",5.52
"2010 Q1","OTHER",94.72
"2010 Q1","PERSON",1148.54
"2010 Q1","PROPERTY",1350.17
"2010 Q1","SEX/NON-REGISTERABLE",6.22
"2010 Q1","SEX/REGISTERABLE",1994.67
"2010 Q1","WEAPONS",73.77
"2010 Q2","ALCOHOL & DRUG",578.12
"2010 Q2","DRIVING",332.99
"2010 Q2","DRUG POSSESSION ONLY",318.36
"2010 Q2","MURDER",646.78
"2010 Q2","No Active Offense",6.95
"2010 Q2","OTHER",84.56
"2010 Q2","PERSON",1174.65
"2010 Q2","PROPERTY",1397.2
"2010 Q2","SEX/NON-REGISTERABLE",8.13
"2010 Q2","SEX/REGISTERABLE",2020.02
"2010 Q2","WEAPONS",79.29
"2010 Q3","ALCOHOL & DRUG",589.46
"2010 Q3","DRIVING",340.59
"2010 Q3","DRUG POSSESSION ONLY",314.41
"2010 Q3","MURDER",649.39
"2010 Q3","No Active Offense",6.54
"2010 Q3","OTHER",84.24
"2010 Q3","PERSON",1192.86
"2010 Q3","PROPERTY",1413.36
"2010 Q3","SEX/NON-REGISTERABLE",8.66
"2010 Q3","SEX/REGISTERABLE",2035.53
"2010 Q3","WEAPONS",83.05
"2010 Q4","ALCOHOL & DRUG",596.63
"2010 Q4","DRIVING",351.89
"2010 Q4","DRUG POSSESSION ONLY",293.49
"2010 Q4","MURDER",654.78
"2010 Q4","No Active Offense",8.18
"2010 Q4","OTHER",98
"2010 Q4","PERSON",1214.72
"2010 Q4","PROPERTY",1454.33
"2010 Q4","SEX/NON-REGISTERABLE",9.26
"2010 Q4","SEX/REGISTERABLE",2047.72
"2010 Q4","WEAPONS",84.59
"2011 Q1","ALCOHOL & DRUG",589.2
"2011 Q1","DRIVING",338.52
"2011 Q1","DRUG POSSESSION ONLY",286.49
"2011 Q1","MURDER",659.23
"2011 Q1","No Active Offense",8.77
"2011 Q1","OTHER",99.36
"2011 Q1","PERSON",1221.78
"2011 Q1","PROPERTY",1461.63
"2011 Q1","SEX/NON-REGISTERABLE",9.89
"2011 Q1","SEX/REGISTERABLE",2065.34
"2011 Q1","WEAPONS",83.86
"2011 Q2","ALCOHOL & DRUG",569.08
"2011 Q2","DRIVING",332.33
"2011 Q2","DRUG POSSESSION ONLY",299.58
"2011 Q2","MURDER",661.05
"2011 Q2","No Active Offense",8.1
"2011 Q2","OTHER",100.58
"2011 Q2","PERSON",1232.25
"2011 Q2","PROPERTY",1445.09
"2011 Q2","SEX/NON-REGISTERABLE",8.2
"2011 Q2","SEX/REGISTERABLE",2076.44
"2011 Q2","WEAPONS",81.4
"2011 Q3","ALCOHOL & DRUG",532.95
"2011 Q3","DRIVING",314.02
"2011 Q3","DRUG POSSESSION ONLY",293.91
"2011 Q3","MURDER",667.49
"2011 Q3","No Active Offense",8.68
"2011 Q3","OTHER",96.91
"2011 Q3","PERSON",1227.98
"2011 Q3","PROPERTY",1440.97
"2011 Q3","SEX/NON-REGISTERABLE",7.62
"2011 Q3","SEX/REGISTERABLE",2096.14
"2011 Q3","WEAPONS",79.15
"2011 Q4","ALCOHOL & DRUG",542.02
"2011 Q4","DRIVING",295.05
"2011 Q4","DRUG POSSESSION ONLY",298.77
"2011 Q4","MURDER",676.14
"2011 Q4","No Active Offense",10.08
"2011 Q4","OTHER",96.67
"2011 Q4","PERSON",1241.36
"2011 Q4","PROPERTY",1461.2
"2011 Q4","SEX/NON-REGISTERABLE",6.75
