"Quarter_Year","Category","Count"
"2010 Q1","F",563.19
"2010 Q1","M",5995.42
"2010 Q2","F",542.35
"2010 Q2","M",6104.69
"2010 Q3","F",569.49
"2010 Q3","M",6148.61
"2010 Q4","F",593.38
"2010 Q4","M",6220.21
"2011 Q1","F",600.57
"2011 Q1","M",6223.5
"2011 Q2","F",591.87
"2011 Q2","M",6222.23
"2011 Q3","F",568.87
"2011 Q3","M",6196.96
"2011 Q4","F",578.37
"2011 Q4","M",6233.72
"2012 Q1","F",607.64
"2012 Q1","M",6252.41
"2012 Q2","F",605.36
"2012 Q2","M",6246.89
"2012 Q3","F",617.6
"2012 Q3","M",6245.48
"2012 Q4","F",635.02
"2012 Q4","M",6307.71
"2013 Q1","F",648.73
"2013 Q1","M",6291.66
"2013 Q2","F",682.47
"2013 Q2","M",6362.42
"2013 Q3","F",669.86
"2013 Q3","M",6450.85
"2013 Q4","F",676.83
"2013 Q4","M",6454.68
"2014 Q1","F",647.01
"2014 Q1","M",6376.47
"2014 Q2","F",636.88
"2014 Q2","M",6383.51
"2014 Q3","F",631.32
"2014 Q3","M",6362.5
"2014 Q4","F",644.1
"2014 Q4","M",6354.04
"2015 Q1","F",621.99
"2015 Q1","M",6228.74
"2015 Q2","F",578.18
"2015 Q2","M",6188.51
"2015 Q3","F",562.83
"2015 Q3","M",6147.1
"2015 Q4","F",530.28
"2015 Q4","M",6040.74
"2016 Q1","F",493.07
"2016 Q1","M",5917.42
"2016 Q2","F",470.67
"2016 Q2","M",5854.32
"2016 Q3","F",432.39
"2016 Q3","M",5808.38
"2016 Q4","F",421.07
"2016 Q4","M",5806.37
"2017 Q1","F",416.13
"2017 Q1","M",5780.84
"2017 Q2","F",443.35
"2017 Q2","M",5861.26
"2017 Q3","F",468.88
"2017 Q3","M",5865.96
"2017 Q4","F",472.04
"2017 Q4","M",5886.79
"2018 Q1","F",492.07
"2018 Q1","M",5957.06
"2018 Q2","F",540.69
"2018 Q2","M",5920.07
"2018 Q3","F",556.59
"2018 Q3","M",6012.02
"2018 Q4","F",571.49
"2018 Q4","M",6051.03
"2019 Q1","F",580.87
"2019 Q1","M",6115.23
"2019 Q2","F",593.56
"2019 Q2","M",6174.22
"2019 Q3","F",599.7
"2019 Q3","M",6182.49
"2019 Q4","F",590.98
"2019 Q4","M",6175.55
"2020 Q1","F",558.82
"2020 Q1","M",6061.37
"2020 Q2","F",444.82
"2020 Q2","M",5547.01
"2020 Q3","F",376.07
"2020 Q3","M",5313.84
"2020 Q4","F",368.42
"2020 Q4","M",5187.29
"2021 Q1","F",394.61
"2021 Q1","M",5136.49
"2021 Q2","F",442.02
"2021 Q2","M",5242.55
"2021 Q3","F",461.27
"2021 Q3","M",5399.97
"2021 Q4","F",481.68
"2021 Q4","M",5438.58
"2022 Q1","F",458.16
"2022 Q1","M",5437.39
"2022 Q2","F",446.8
"2022 Q2","M",5419.78
"2022 Q3","F",451.43
"2022 Q3","M",5478.66
"2022 Q4","F",442.43
"2022 Q4","M",5537.32
"2023 Q1","F",445.47
"2023 Q1","M",5596.64
"2023 Q2","F",462.79
"2023 Q2","M",5649.59
"2023 Q3","F",466.15
"2023 Q3","M",5718.89
"2023 Q4","F",472.85
"2023 Q4","M",5853.93
"2024 Q1","F",492.26
"2024 Q1","M",5977.9
"2024 Q2","F",469.26
"2024 Q2","M",5930.18
"2024 Q3","F",441.45
"2024 Q3","M",5943.51
"2024 Q4","F",440.24
"2024 Q4","M",5916.93
"2025 Q1","F",443.37
"2025 Q1","M",5917
"2025 Q2","F",449.68
"2025 Q2","M",5985.29
"2025 Q3","F",454.11
"2025 Q3","M",6128.3
"2025 Q4","F",447.55
"2025 Q4","M",6217.37
"2026 Q1","F",442.17
"2026 Q1","M",6178.22
"2026 Q2","F",462.32
"2026 Q2","M",6218.67
