"quarter","primary_ofnse_degree","admissions","releases","net_admissions"
"2010 Q1","F1",62,57,5
"2010 Q2","F1",58,51,7
"2010 Q3","F1",74,39,35
"2010 Q4","F1",77,57,20
"2011 Q1","F1",77,57,20
"2011 Q2","F1",82,68,14
"2011 Q3","F1",77,54,23
"2011 Q4","F1",67,65,2
"2012 Q1","F1",64,48,16
"2012 Q2","F1",83,45,38
"2012 Q3","F1",61,49,12
"2012 Q4","F1",74,44,30
"2013 Q1","F1",59,55,4
"2013 Q2","F1",55,58,-3
"2013 Q3","F1",55,39,16
"2013 Q4","F1",52,46,6
"2014 Q1","F1",70,51,19
"2014 Q2","F1",59,46,13
"2014 Q3","F1",66,52,14
"2014 Q4","F1",62,52,10
"2015 Q1","F1",63,69,-6
"2015 Q2","F1",68,58,10
"2015 Q3","F1",67,62,5
"2015 Q4","F1",59,57,2
"2016 Q1","F1",70,69,1
"2016 Q2","F1",70,68,2
"2016 Q3","F1",86,56,30
"2016 Q4","F1",65,57,8
"2017 Q1","F1",82,61,21
"2017 Q2","F1",69,65,4
"2017 Q3","F1",70,73,-3
"2017 Q4","F1",73,71,2
"2018 Q1","F1",83,71,12
"2018 Q2","F1",89,67,22
"2018 Q3","F1",74,57,17
"2018 Q4","F1",82,59,23
"2019 Q1","F1",84,59,25
"2019 Q2","F1",93,91,2
"2019 Q3","F1",107,85,22
"2019 Q4","F1",91,70,21
"2020 Q1","F1",77,111,-34
"2020 Q2","F1",59,95,-36
"2020 Q3","F1",63,92,-29
"2020 Q4","F1",49,97,-48
"2021 Q1","F1",77,85,-8
"2021 Q2","F1",99,71,28
"2021 Q3","F1",107,90,17
"2021 Q4","F1",101,85,16
"2022 Q1","F1",110,82,28
"2022 Q2","F1",115,111,4
"2022 Q3","F1",119,82,37
"2022 Q4","F1",120,79,41
"2023 Q1","F1",121,92,29
"2023 Q2","F1",140,90,50
"2023 Q3","F1",141,73,68
"2023 Q4","F1",124,80,44
"2024 Q1","F1",128,99,29
"2024 Q2","F1",106,86,20
"2024 Q3","F1",127,70,57
"2024 Q4","F1",96,98,-2
"2025 Q1","F1",103,82,21
"2025 Q2","F1",131,65,66
"2025 Q3","F1",129,80,49
"2025 Q4","F1",114,84,30
"2026 Q1","F1",93,78,15
"2010 Q1","F2",271,226,45
"2010 Q2","F2",238,202,36
"2010 Q3","F2",257,218,39
"2010 Q4","F2",224,232,-8
"2011 Q1","F2",231,230,1
"2011 Q2","F2",224,196,28
"2011 Q3","F2",225,221,4
"2011 Q4","F2",232,201,31
"2012 Q1","F2",217,203,14
"2012 Q2","F2",214,214,0
"2012 Q3","F2",234,175,59
"2012 Q4","F2",213,209,4
"2013 Q1","F2",237,222,15
"2013 Q2","F2",247,177,70
"2013 Q3","F2",221,209,12
"2013 Q4","F2",180,182,-2
"2014 Q1","F2",230,212,18
"2014 Q2","F2",218,215,3
"2014 Q3","F2",229,239,-10
"2014 Q4","F2",193,160,33
"2015 Q1","F2",217,308,-91
"2015 Q2","F2",213,227,-14
"2015 Q3","F2",222,250,-28
"2015 Q4","F2",211,240,-29
"2016 Q1","F2",313,300,13
"2016 Q2","F2",266,299,-33
"2016 Q3","F2",296,292,4
"2016 Q4","F2",276,290,-14
"2017 Q1","F2",347,303,44
"2017 Q2","F2",316,272,44
"2017 Q3","F2",305,313,-8
"2017 Q4","F2",317,258,59
"2018 Q1","F2",311,322,-11
"2018 Q2","F2",277,316,-39
"2018 Q3","F2",314,258,56
"2018 Q4","F2",315,274,41
"2019 Q1","F2",334,336,-2
"2019 Q2","F2",365,371,-6
"2019 Q3","F2",347,332,15
"2019 Q4","F2",327,369,-42
