"quarter","primary_ofnse_typ","admissions","releases","net_admissions"
"2010 Q1","ALCOHOL & DRUG",146,135,11
"2010 Q2","ALCOHOL & DRUG",88,110,-22
"2010 Q3","ALCOHOL & DRUG",139,103,36
"2010 Q4","ALCOHOL & DRUG",105,113,-8
"2011 Q1","ALCOHOL & DRUG",108,122,-14
"2011 Q2","ALCOHOL & DRUG",97,121,-24
"2011 Q3","ALCOHOL & DRUG",101,106,-5
"2011 Q4","ALCOHOL & DRUG",107,94,13
"2012 Q1","ALCOHOL & DRUG",103,107,-4
"2012 Q2","ALCOHOL & DRUG",107,107,0
"2012 Q3","ALCOHOL & DRUG",118,99,19
"2012 Q4","ALCOHOL & DRUG",105,98,7
"2013 Q1","ALCOHOL & DRUG",108,109,-1
"2013 Q2","ALCOHOL & DRUG",101,91,10
"2013 Q3","ALCOHOL & DRUG",103,92,11
"2013 Q4","ALCOHOL & DRUG",79,90,-11
"2014 Q1","ALCOHOL & DRUG",99,102,-3
"2014 Q2","ALCOHOL & DRUG",86,99,-13
"2014 Q3","ALCOHOL & DRUG",90,100,-10
"2014 Q4","ALCOHOL & DRUG",97,63,34
"2015 Q1","ALCOHOL & DRUG",110,145,-35
"2015 Q2","ALCOHOL & DRUG",102,92,10
"2015 Q3","ALCOHOL & DRUG",80,112,-32
"2015 Q4","ALCOHOL & DRUG",84,107,-23
"2016 Q1","ALCOHOL & DRUG",120,127,-7
"2016 Q2","ALCOHOL & DRUG",98,138,-40
"2016 Q3","ALCOHOL & DRUG",123,108,15
"2016 Q4","ALCOHOL & DRUG",99,117,-18
"2017 Q1","ALCOHOL & DRUG",158,139,19
"2017 Q2","ALCOHOL & DRUG",148,122,26
"2017 Q3","ALCOHOL & DRUG",137,139,-2
"2017 Q4","ALCOHOL & DRUG",133,129,4
"2018 Q1","ALCOHOL & DRUG",138,133,5
"2018 Q2","ALCOHOL & DRUG",142,121,21
"2018 Q3","ALCOHOL & DRUG",137,113,24
"2018 Q4","ALCOHOL & DRUG",133,117,16
"2019 Q1","ALCOHOL & DRUG",143,124,19
"2019 Q2","ALCOHOL & DRUG",124,156,-32
"2019 Q3","ALCOHOL & DRUG",140,154,-14
"2019 Q4","ALCOHOL & DRUG",126,119,7
"2020 Q1","ALCOHOL & DRUG",99,160,-61
"2020 Q2","ALCOHOL & DRUG",66,175,-109
"2020 Q3","ALCOHOL & DRUG",117,76,41
"2020 Q4","ALCOHOL & DRUG",92,109,-17
"2021 Q1","ALCOHOL & DRUG",131,78,53
"2021 Q2","ALCOHOL & DRUG",107,87,20
"2021 Q3","ALCOHOL & DRUG",117,98,19
"2021 Q4","ALCOHOL & DRUG",109,116,-7
"2022 Q1","ALCOHOL & DRUG",107,119,-12
"2022 Q2","ALCOHOL & DRUG",116,144,-28
"2022 Q3","ALCOHOL & DRUG",124,109,15
"2022 Q4","ALCOHOL & DRUG",121,96,25
"2023 Q1","ALCOHOL & DRUG",112,125,-13
"2023 Q2","ALCOHOL & DRUG",128,113,15
"2023 Q3","ALCOHOL & DRUG",133,108,25
"2023 Q4","ALCOHOL & DRUG",95,117,-22
"2024 Q1","ALCOHOL & DRUG",102,113,-11
"2024 Q2","ALCOHOL & DRUG",81,110,-29
"2024 Q3","ALCOHOL & DRUG",109,100,9
"2024 Q4","ALCOHOL & DRUG",102,98,4
"2025 Q1","ALCOHOL & DRUG",100,94,6
"2025 Q2","ALCOHOL & DRUG",100,100,0
"2025 Q3","ALCOHOL & DRUG",94,90,4
"2025 Q4","ALCOHOL & DRUG",94,82,12
"2026 Q1","ALCOHOL & DRUG",74,87,-13
"2010 Q1","DRIVING",80,79,1
"2010 Q2","DRIVING",86,75,11
"2010 Q3","DRIVING",88,70,18
"2010 Q4","DRIVING",75,72,3
"2011 Q1","DRIVING",81,83,-2
"2011 Q2","DRIVING",60,86,-26
"2011 Q3","DRIVING",62,73,-11
"2011 Q4","DRIVING",68,78,-10
"2012 Q1","DRIVING",68,76,-8
"2012 Q2","DRIVING",72,58,14
"2012 Q3","DRIVING",60,69,-9
"2012 Q4","DRIVING",66,60,6
"2013 Q1","DRIVING",54,82,-28
"2013 Q2","DRIVING",64,51,13
"2013 Q3","DRIVING",69,60,9
"2013 Q4","DRIVING",41,59,-18
"2014 Q1","DRIVING",50,79,-29
"2014 Q2","DRIVING",66,52,14
"2014 Q3","DRIVING",57,52,5
"2014 Q4","DRIVING",54,44,10
"2015 Q1","DRIVING",35,75,-40
"2015 Q2","DRIVING",36,62,-26
"2015 Q3","DRIVING",51,56,-5
"2015 Q4","DRIVING",42,50,-8
"2016 Q1","DRIVING",44,66,-22
"2016 Q2","DRIVING",49,57,-8
"2016 Q3","DRIVING",68,60,8
"2016 Q4","DRIVING",53,43,10
"2017 Q1","DRIVING",60,55,5
"2017 Q2","DRIVING",64,65,-1
"2017 Q3","DRIVING",50,71,-21
"2017 Q4","DRIVING",61,52,9
"2018 Q1","DRIVING",66,65,1
"2018 Q2","DRIVING",67,49,18
"2018 Q3","DRIVING",63,45,18
"2018 Q4","DRIVING",53,35,18
"2019 Q1","DRIVING",61,67,-6
"2019 Q2","DRIVING",53,68,-15
"2019 Q3","DRIVING",52,57,-5
"2019 Q4","DRIVING",45,66,-21
"2020 Q1","DRIVING",55,52,3
"2020 Q2","DRIVING",38,80,-42
"2020 Q3","DRIVING",31,37,-6
"2020 Q4","DRIVING",32,53,-21
"2021 Q1","DRIVING",42,35,7
"2021 Q2","DRIVING",47,30,17
"2021 Q3","DRIVING",40,38,2
"2021 Q4","DRIVING",50,40,10
"2022 Q1","DRIVING",44,53,-9
"2022 Q2","DRIVING",52,44,8
"2022 Q3","DRIVING",44,37,7
"2022 Q4","DRIVING",49,43,6
"2023 Q1","DRIVING",56,44,12
"2023 Q2","DRIVING",41,49,-8
"2023 Q3","DRIVING",54,41,13
"2023 Q4","DRIVING",42,40,2
"2024 Q1","DRIVING",50,47,3
"2024 Q2","DRIVING",28,40,-12
"2024 Q3","DRIVING",43,38,5
"2024 Q4","DRIVING",32,47,-15
"2025 Q1","DRIVING",42,37,5
"2025 Q2","DRIVING",37,45,-8
"2025 Q3","DRIVING",43,38,5
"2025 Q4","DRIVING",31,42,-11
"2026 Q1","DRIVING",32,32,0
"2010 Q1","DRUG POSSESSION ONLY",99,114,-15
"2010 Q2","DRUG POSSESSION ONLY",87,105,-18
"2010 Q3","DRUG POSSESSION ONLY",96,89,7
"2010 Q4","DRUG POSSESSION ONLY",80,112,-32
"2011 Q1","DRUG POSSESSION ONLY",97,90,7
"2011 Q2","DRUG POSSESSION ONLY",92,92,0
"2011 Q3","DRUG POSSESSION ONLY",88,87,1
"2011 Q4","DRUG POSSESSION ONLY",93,88,5
"2012 Q1","DRUG POSSESSION ONLY",82,74,8
"2012 Q2","DRUG POSSESSION ONLY",88,79,9
"2012 Q3","DRUG POSSESSION ONLY",97,102,-5
"2012 Q4","DRUG POSSESSION ONLY",101,76,25
"2013 Q1","DRUG POSSESSION ONLY",91,91,0
"2013 Q2","DRUG POSSESSION ONLY",110,98,12
"2013 Q3","DRUG POSSESSION ONLY",118,87,31
"2013 Q4","DRUG POSSESSION ONLY",84,89,-5
"2014 Q1","DRUG POSSESSION ONLY",77,95,-18
"2014 Q2","DRUG POSSESSION ONLY",89,99,-10
"2014 Q3","DRUG POSSESSION ONLY",84,100,-16
"2014 Q4","DRUG POSSESSION ONLY",69,63,6
"2015 Q1","DRUG POSSESSION ONLY",82,145,-63
"2015 Q2","DRUG POSSESSION ONLY",90,88,2
"2015 Q3","DRUG POSSESSION ONLY",81,96,-15
"2015 Q4","DRUG POSSESSION ONLY",55,78,-23
"2016 Q1","DRUG POSSESSION ONLY",63,108,-45
"2016 Q2","DRUG POSSESSION ONLY",71,89,-18
"2016 Q3","DRUG POSSESSION ONLY",67,85,-18
"2016 Q4","DRUG POSSESSION ONLY",68,100,-32
"2017 Q1","DRUG POSSESSION ONLY",69,83,-14
"2017 Q2","DRUG POSSESSION ONLY",76,79,-3
"2017 Q3","DRUG POSSESSION ONLY",74,76,-2
"2017 Q4","DRUG POSSESSION ONLY",62,48,14
"2018 Q1","DRUG POSSESSION ONLY",77,59,18
"2018 Q2","DRUG POSSESSION ONLY",62,73,-11
"2018 Q3","DRUG POSSESSION ONLY",67,66,1
"2018 Q4","DRUG POSSESSION ONLY",53,72,-19
"2019 Q1","DRUG POSSESSION ONLY",65,52,13
"2019 Q2","DRUG POSSESSION ONLY",53,71,-18
"2019 Q3","DRUG POSSESSION ONLY",61,55,6
"2019 Q4","DRUG POSSESSION ONLY",54,66,-12
"2020 Q1","DRUG POSSESSION ONLY",56,70,-14
"2020 Q2","DRUG POSSESSION ONLY",25,57,-32
"2020 Q3","DRUG POSSESSION ONLY",32,43,-11
"2020 Q4","DRUG POSSESSION ONLY",30,36,-6
"2021 Q1","DRUG POSSESSION ONLY",47,40,7
"2021 Q2","DRUG POSSESSION ONLY",36,40,-4
"2021 Q3","DRUG POSSESSION ONLY",38,33,5
"2021 Q4","DRUG POSSESSION ONLY",34,33,1
"2022 Q1","DRUG POSSESSION ONLY",39,31,8
"2022 Q2","DRUG POSSESSION ONLY",48,52,-4
"2022 Q3","DRUG POSSESSION ONLY",31,32,-1
"2022 Q4","DRUG POSSESSION ONLY",24,40,-16
"2023 Q1","DRUG POSSESSION ONLY",29,32,-3
"2023 Q2","DRUG POSSESSION ONLY",33,30,3
"2023 Q3","DRUG POSSESSION ONLY",27,27,0
"2023 Q4","DRUG POSSESSION ONLY",31,23,8
"2024 Q1","DRUG POSSESSION ONLY",37,24,13
"2024 Q2","DRUG POSSESSION ONLY",28,33,-5
"2024 Q3","DRUG POSSESSION ONLY",18,16,2
"2024 Q4","DRUG POSSESSION ONLY",23,42,-19
"2025 Q1","DRUG POSSESSION ONLY",21,19,2
"2025 Q2","DRUG POSSESSION ONLY",21,25,-4
"2025 Q3","DRUG POSSESSION ONLY",30,22,8
"2025 Q4","DRUG POSSESSION ONLY",25,27,-2
"2026 Q1","DRUG POSSESSION ONLY",18,19,-1
"2010 Q1","MURDER",15,15,0
"2010 Q2","MURDER",12,14,-2
"2010 Q3","MURDER",14,12,2
"2010 Q4","MURDER",18,10,8
"2011 Q1","MURDER",13,13,0
"2011 Q2","MURDER",17,14,3
"2011 Q3","MURDER",25,12,13
"2011 Q4","MURDER",17,14,3
"2012 Q1","MURDER",19,13,6
"2012 Q2","MURDER",21,15,6
"2012 Q3","MURDER",15,10,5
"2012 Q4","MURDER",10,12,-2
"2013 Q1","MURDER",13,14,-1
"2013 Q2","MURDER",16,9,7
"2013 Q3","MURDER",8,11,-3
"2013 Q4","MURDER",12,9,3
"2014 Q1","MURDER",19,6,13
"2014 Q2","MURDER",16,15,1
"2014 Q3","MURDER",19,19,0
"2014 Q4","MURDER",18,13,5
"2015 Q1","MURDER",16,14,2
"2015 Q2","MURDER",20,7,13
"2015 Q3","MURDER",18,14,4
"2015 Q4","MURDER",21,11,10
"2016 Q1","MURDER",11,16,-5
"2016 Q2","MURDER",16,20,-4
"2016 Q3","MURDER",19,13,6
"2016 Q4","MURDER",26,14,12
"2017 Q1","MURDER",24,8,16
"2017 Q2","MURDER",22,9,13
"2017 Q3","MURDER",14,23,-9
"2017 Q4","MURDER",21,25,-4
"2018 Q1","MURDER",20,24,-4
"2018 Q2","MURDER",20,14,6
"2018 Q3","MURDER",17,8,9
"2018 Q4","MURDER",14,20,-6
"2019 Q1","MURDER",23,20,3
"2019 Q2","MURDER",29,21,8
"2019 Q3","MURDER",24,19,5
"2019 Q4","MURDER",18,21,-3
"2020 Q1","MURDER",15,22,-7
"2020 Q2","MURDER",16,24,-8
"2020 Q3","MURDER",19,26,-7
"2020 Q4","MURDER",16,24,-8
"2021 Q1","MURDER",13,31,-18
"2021 Q2","MURDER",25,19,6
"2021 Q3","MURDER",24,22,2
"2021 Q4","MURDER",25,26,-1
"2022 Q1","MURDER",27,20,7
"2022 Q2","MURDER",26,20,6
"2022 Q3","MURDER",27,17,10
"2022 Q4","MURDER",23,16,7
"2023 Q1","MURDER",31,18,13
"2023 Q2","MURDER",22,24,-2
"2023 Q3","MURDER",36,12,24
"2023 Q4","MURDER",29,13,16
"2024 Q1","MURDER",34,33,1
"2024 Q2","MURDER",32,18,14
"2024 Q3","MURDER",30,23,7
"2024 Q4","MURDER",23,18,5
"2025 Q1","MURDER",25,14,11
"2025 Q2","MURDER",16,23,-7
"2025 Q3","MURDER",19,13,6
"2025 Q4","MURDER",25,13,12
"2026 Q1","MURDER",22,26,-4
"2010 Q1","OTHER",25,22,3
"2010 Q2","OTHER",13,26,-13
"2010 Q3","OTHER",22,14,8
"2010 Q4","OTHER",23,13,10
"2011 Q1","OTHER",21,24,-3
"2011 Q2","OTHER",27,24,3
"2011 Q3","OTHER",14,22,-8
"2011 Q4","OTHER",18,16,2
"2012 Q1","OTHER",15,28,-13
"2012 Q2","OTHER",21,17,4
"2012 Q3","OTHER",21,21,0
"2012 Q4","OTHER",18,21,-3
"2013 Q1","OTHER",28,9,19
"2013 Q2","OTHER",22,17,5
"2013 Q3","OTHER",13,20,-7
"2013 Q4","OTHER",16,29,-13
"2014 Q1","OTHER",16,14,2
"2014 Q2","OTHER",18,15,3
"2014 Q3","OTHER",29,25,4
"2014 Q4","OTHER",21,12,9
"2015 Q1","OTHER",20,19,1
"2015 Q2","OTHER",23,23,0
"2015 Q3","OTHER",23,23,0
"2015 Q4","OTHER",15,24,-9
"2016 Q1","OTHER",18,25,-7
"2016 Q2","OTHER",18,25,-7
"2016 Q3","OTHER",17,21,-4
"2016 Q4","OTHER",27,23,4
"2017 Q1","OTHER",31,37,-6
"2017 Q2","OTHER",33,29,4
"2017 Q3","OTHER",36,30,6
"2017 Q4","OTHER",31,26,5
"2018 Q1","OTHER",25,31,-6
"2018 Q2","OTHER",32,21,11
"2018 Q3","OTHER",28,31,-3
"2018 Q4","OTHER",35,29,6
"2019 Q1","OTHER",25,30,-5
"2019 Q2","OTHER",32,32,0
"2019 Q3","OTHER",33,26,7
"2019 Q4","OTHER",41,34,7
"2020 Q1","OTHER",47,42,5
"2020 Q2","OTHER",28,44,-16
"2020 Q3","OTHER",20,42,-22
"2020 Q4","OTHER",29,22,7
"2021 Q1","OTHER",31,30,1
