"quarter","primary_ofnse_typ","admissions","releases","net_admissions"
"2010 Q1","ALCOHOL & DRUG",29,39,-10
"2010 Q2","ALCOHOL & DRUG",19,26,-7
"2010 Q3","ALCOHOL & DRUG",32,14,18
"2010 Q4","ALCOHOL & DRUG",21,21,0
"2011 Q1","ALCOHOL & DRUG",23,25,-2
"2011 Q2","ALCOHOL & DRUG",23,25,-2
"2011 Q3","ALCOHOL & DRUG",18,27,-9
"2011 Q4","ALCOHOL & DRUG",23,19,4
"2012 Q1","ALCOHOL & DRUG",19,24,-5
"2012 Q2","ALCOHOL & DRUG",18,23,-5
"2012 Q3","ALCOHOL & DRUG",35,19,16
"2012 Q4","ALCOHOL & DRUG",27,29,-2
"2013 Q1","ALCOHOL & DRUG",28,15,13
"2013 Q2","ALCOHOL & DRUG",22,16,6
"2013 Q3","ALCOHOL & DRUG",21,30,-9
"2013 Q4","ALCOHOL & DRUG",16,23,-7
"2014 Q1","ALCOHOL & DRUG",29,18,11
"2014 Q2","ALCOHOL & DRUG",16,27,-11
"2014 Q3","ALCOHOL & DRUG",25,30,-5
"2014 Q4","ALCOHOL & DRUG",26,12,14
"2015 Q1","ALCOHOL & DRUG",20,35,-15
"2015 Q2","ALCOHOL & DRUG",18,19,-1
"2015 Q3","ALCOHOL & DRUG",16,25,-9
"2015 Q4","ALCOHOL & DRUG",14,20,-6
"2016 Q1","ALCOHOL & DRUG",23,24,-1
"2016 Q2","ALCOHOL & DRUG",21,30,-9
"2016 Q3","ALCOHOL & DRUG",26,24,2
"2016 Q4","ALCOHOL & DRUG",28,30,-2
"2017 Q1","ALCOHOL & DRUG",32,24,8
"2017 Q2","ALCOHOL & DRUG",24,25,-1
"2017 Q3","ALCOHOL & DRUG",36,30,6
"2017 Q4","ALCOHOL & DRUG",25,27,-2
"2018 Q1","ALCOHOL & DRUG",27,26,1
"2018 Q2","ALCOHOL & DRUG",41,35,6
"2018 Q3","ALCOHOL & DRUG",26,23,3
"2018 Q4","ALCOHOL & DRUG",29,26,3
"2019 Q1","ALCOHOL & DRUG",32,23,9
"2019 Q2","ALCOHOL & DRUG",25,38,-13
"2019 Q3","ALCOHOL & DRUG",32,38,-6
"2019 Q4","ALCOHOL & DRUG",29,23,6
"2020 Q1","ALCOHOL & DRUG",18,32,-14
"2020 Q2","ALCOHOL & DRUG",4,32,-28
"2020 Q3","ALCOHOL & DRUG",20,10,10
"2020 Q4","ALCOHOL & DRUG",13,20,-7
"2021 Q1","ALCOHOL & DRUG",25,8,17
"2021 Q2","ALCOHOL & DRUG",17,21,-4
"2021 Q3","ALCOHOL & DRUG",23,19,4
"2021 Q4","ALCOHOL & DRUG",14,18,-4
"2022 Q1","ALCOHOL & DRUG",20,19,1
"2022 Q2","ALCOHOL & DRUG",19,26,-7
"2022 Q3","ALCOHOL & DRUG",18,17,1
"2022 Q4","ALCOHOL & DRUG",19,11,8
"2023 Q1","ALCOHOL & DRUG",19,20,-1
"2023 Q2","ALCOHOL & DRUG",23,18,5
"2023 Q3","ALCOHOL & DRUG",25,18,7
"2023 Q4","ALCOHOL & DRUG",11,24,-13
"2024 Q1","ALCOHOL & DRUG",22,17,5
"2024 Q2","ALCOHOL & DRUG",5,22,-17
"2024 Q3","ALCOHOL & DRUG",20,12,8
"2024 Q4","ALCOHOL & DRUG",19,15,4
"2025 Q1","ALCOHOL & DRUG",17,13,4
