"quarter","admissions","releases","net_admissions"
"2010 Q1",897,845,52
"2010 Q2",782,766,16
"2010 Q3",888,740,148
"2010 Q4",814,761,53
"2011 Q1",840,853,-13
"2011 Q2",790,826,-36
"2011 Q3",801,784,17
"2011 Q4",831,733,98
"2012 Q1",748,800,-52
"2012 Q2",792,767,25
"2012 Q3",804,771,33
"2012 Q4",796,725,71
"2013 Q1",817,820,-3
"2013 Q2",829,703,126
"2013 Q3",821,738,83
"2013 Q4",635,723,-88
"2014 Q1",730,803,-73
"2014 Q2",740,734,6
"2014 Q3",772,831,-59
"2014 Q4",691,606,85
"2015 Q1",707,1009,-302
"2015 Q2",736,778,-42
"2015 Q3",760,806,-46
"2015 Q4",611,749,-138
"2016 Q1",831,954,-123
"2016 Q2",772,928,-156
"2016 Q3",896,897,-1
"2016 Q4",808,848,-40
"2017 Q1",995,910,85
"2017 Q2",980,938,42
"2017 Q3",951,936,15
"2017 Q4",942,840,102
"2018 Q1",948,938,10
"2018 Q2",948,911,37
"2018 Q3",948,840,108
"2018 Q4",901,829,72
"2019 Q1",1020,923,97
"2019 Q2",1040,1067,-27
"2019 Q3",1061,999,62
"2019 Q4",936,1049,-113
"2020 Q1",976,1264,-288
"2020 Q2",571,1307,-736
"2020 Q3",729,754,-25
"2020 Q4",670,845,-175
"2021 Q1",871,755,116
"2021 Q2",949,720,229
"2021 Q3",887,814,73
"2021 Q4",916,873,43
"2022 Q1",826,883,-57
"2022 Q2",949,1032,-83
"2022 Q3",930,799,131
"2022 Q4",906,799,107
"2023 Q1",910,845,65
"2023 Q2",871,884,-13
"2023 Q3",950,748,202
"2023 Q4",877,735,142
"2024 Q1",834,799,35
"2024 Q2",685,819,-134
"2024 Q3",783,693,90
"2024 Q4",745,822,-77
"2025 Q1",734,695,39
"2025 Q2",755,660,95
"2025 Q3",822,701,121
"2025 Q4",739,676,63
"2026 Q1",658,683,-25
"2026 Q2",739,647,92
