"year","primary_ofnse_degree","median_los","n"
2010,"F1",184.5,94
2010,"F2",190,331
2010,"F3",181,586
2010,"FC",127,1
2011,"F1",188.5,112
2011,"F2",184,289
2011,"F3",179.5,526
2012,"F1",182,67
2012,"F2",183,253
2012,"F3",180,492
2013,"F1",227,78
2013,"F2",181,225
2013,"F3",180,475
2013,"FC",272,1
2014,"F1",182.5,92
2014,"F2",183,254
2014,"F3",181,531
2015,"F1",183,87
2015,"F2",176,314
2015,"F3",147,610
2016,"F1",174,115
2016,"F2",117,466
2016,"F3",90,735
2017,"F1",168,109
2017,"F2",121,429
2017,"F3",104,761
2017,"FC",159,1
2018,"F1",155,89
2018,"F2",140,413
2018,"F3",117,683
2019,"F1",148,105
2019,"F2",134,555
2019,"F3",113,912
2020,"F1",183,135
2020,"F2",136,567
2020,"F3",115,781
2021,"F1",168,144
2021,"F2",154,540
2021,"F3",133,798
2022,"F1",175,181
2022,"F2",168,708
2022,"F3",147,863
2022,"FC",609,1
2023,"F1",168,175
2023,"F2",168,727
2023,"F3",133,795
2024,"F1",178.5,188
2024,"F2",175,637
2024,"F3",168,633
2024,"FC",287,2
2025,"F1",175,127
2025,"F2",168,599
2025,"F3",168,557
2025,"FC",175,1
2026,"F1",182,80
2026,"F2",175,276
2026,"F3",175,265
2026,"FC",207,1
2010,"All Severities Combined",182,1012
2011,"All Severities Combined",182,927
2012,"All Severities Combined",181,812
2013,"All Severities Combined",181,779
2014,"All Severities Combined",182,877
2015,"All Severities Combined",156,1011
2016,"All Severities Combined",110.5,1316
2017,"All Severities Combined",118,1300
2018,"All Severities Combined",122,1185
2019,"All Severities Combined",118,1572
2020,"All Severities Combined",124,1483
2021,"All Severities Combined",140,1482
2022,"All Severities Combined",161,1753
2023,"All Severities Combined",160,1697
2024,"All Severities Combined",175,1460
2025,"All Severities Combined",168,1284
2026,"All Severities Combined",175,622
