"year","primary_ofnse_typ","median_los","n"
2010,"ALCOHOL & DRUG",397,461
2010,"DRIVING",334,296
2010,"DRUG POSSESSION ONLY",299,420
2010,"MURDER",1841,51
2010,"OTHER",287,75
2010,"PERSON",510.5,394
2010,"PROPERTY",366,965
2010,"SEX/REGISTERABLE",860,325
2010,"WEAPONS",362.5,48
2011,"ALCOHOL & DRUG",384,443
2011,"DRIVING",362,320
2011,"DRUG POSSESSION ONLY",288,357
2011,"MURDER",1640,53
2011,"OTHER",334.5,86
2011,"PERSON",486,454
2011,"PROPERTY",384,1020
2011,"SEX/NON-REGISTERABLE",690,6
2011,"SEX/REGISTERABLE",909,353
2011,"WEAPONS",301,51
2012,"ALCOHOL & DRUG",414,411
2012,"DRIVING",385,263
2012,"DRUG POSSESSION ONLY",295,331
2012,"MURDER",1322,50
2012,"OTHER",362,87
2012,"PERSON",620,468
2012,"PROPERTY",415,1029
2012,"SEX/REGISTERABLE",1092,313
2012,"WEAPONS",477,65
2013,"ALCOHOL & DRUG",424,382
2013,"DRIVING",363,252
2013,"DRUG POSSESSION ONLY",307,365
2013,"MURDER",1960,43
2013,"OTHER",342,75
2013,"PERSON",588,491
2013,"PROPERTY",411,970
2013,"SEX/REGISTERABLE",1207,309
2013,"WEAPONS",427,48
2014,"ALCOHOL & DRUG",440.5,364
2014,"DRIVING",364,227
2014,"DRUG POSSESSION ONLY",329,357
2014,"MURDER",1518,53
2014,"OTHER",415.5,66
2014,"PERSON",623,501
2014,"PROPERTY",449,996
2014,"SEX/NON-REGISTERABLE",1728,3
2014,"SEX/REGISTERABLE",1216.5,332
2014,"WEAPONS",470,57
2015,"ALCOHOL & DRUG",447.5,456
2015,"DRIVING",407,243
2015,"DRUG POSSESSION ONLY",330,407
2015,"MURDER",1336,46
2015,"OTHER",273,89
2015,"PERSON",582.5,540
2015,"PROPERTY",433,1061
2015,"SEX/NON-REGISTERABLE",1332,4
2015,"SEX/REGISTERABLE",1359,414
2015,"WEAPONS",392.5,60
2016,"ALCOHOL & DRUG",304,490
2016,"DRIVING",283,226
2016,"DRUG POSSESSION ONLY",243,382
2016,"MURDER",1602,63
2016,"OTHER",246.5,94
2016,"PERSON",395.5,602
2016,"PROPERTY",288,1261
2016,"SEX/NON-REGISTERABLE",341.5,8
2016,"SEX/REGISTERABLE",1156.5,404
2016,"WEAPONS",363.5,70
2017,"ALCOHOL & DRUG",222,529
2017,"DRIVING",230,243
2017,"DRUG POSSESSION ONLY",159.5,286
2017,"MURDER",1454,65
2017,"OTHER",176.5,122
2017,"PERSON",350,694
2017,"PROPERTY",187,1170
2017,"SEX/NON-REGISTERABLE",127,8
2017,"SEX/REGISTERABLE",1126,396
2017,"WEAPONS",190.5,96
2018,"ALCOHOL & DRUG",269,484
2018,"DRIVING",234.5,194
2018,"DRUG POSSESSION ONLY",183,270
2018,"MURDER",1952,66
2018,"OTHER",212,112
2018,"PERSON",377,724
2018,"PROPERTY",236,1118
2018,"SEX/NON-REGISTERABLE",665.5,6
2018,"SEX/REGISTERABLE",1218,436
2018,"WEAPONS",291,93
2019,"ALCOHOL & DRUG",286,553
2019,"DRIVING",289,258
2019,"DRUG POSSESSION ONLY",187,244
2019,"MURDER",2709,81
2019,"OTHER",231,122
2019,"PERSON",308,869
2019,"PROPERTY",264,1328
2019,"SEX/NON-REGISTERABLE",1029,11
2019,"SEX/REGISTERABLE",1266.5,462
2019,"WEAPONS",293,105
2020,"ALCOHOL & DRUG",287.5,520
2020,"DRIVING",313,222
2020,"DRUG POSSESSION ONLY",197,206
2020,"MURDER",2205,96
2020,"OTHER",208.5,150
2020,"PERSON",357,945
2020,"PROPERTY",265,1247
2020,"SEX/NON-REGISTERABLE",553,13
2020,"SEX/REGISTERABLE",1251,629
2020,"WEAPONS",301,132
2021,"ALCOHOL & DRUG",238,379
2021,"DRIVING",294,143
2021,"DRUG POSSESSION ONLY",147,146
2021,"MURDER",2111,98
2021,"OTHER",168,134
2021,"PERSON",335,795
2021,"PROPERTY",231,845
2021,"SEX/NON-REGISTERABLE",203,6
2021,"SEX/REGISTERABLE",1062,513
2021,"WEAPONS",371,95
2022,"ALCOHOL & DRUG",287,468
2022,"DRIVING",266,177
2022,"DRUG POSSESSION ONLY",161,155
2022,"MURDER",1343,73
2022,"OTHER",189,116
2022,"PERSON",287,855
2022,"PROPERTY",224,970
2022,"SEX/NON-REGISTERABLE",1010,10
2022,"SEX/REGISTERABLE",598.5,560
2022,"WEAPONS",245,125
2023,"ALCOHOL & DRUG",231,463
2023,"DRIVING",336,174
2023,"DRUG POSSESSION ONLY",175,112
2023,"MURDER",2002,67
2023,"OTHER",252,113
2023,"PERSON",292,797
2023,"PROPERTY",199.5,864
2023,"SEX/NON-REGISTERABLE",322,5
2023,"SEX/REGISTERABLE",420,490
2023,"WEAPONS",245,124
2024,"ALCOHOL & DRUG",320,421
2024,"DRIVING",413,172
2024,"DRUG POSSESSION ONLY",189,115
2024,"MURDER",848.5,92
2024,"OTHER",259,86
2024,"PERSON",395.5,844
2024,"PROPERTY",280,811
2024,"SEX/NON-REGISTERABLE",1043,9
2024,"SEX/REGISTERABLE",612.5,462
2024,"WEAPONS",336,117
2025,"ALCOHOL & DRUG",300.5,366
2025,"DRIVING",388.5,162
2025,"DRUG POSSESSION ONLY",196,93
2025,"MURDER",1338,63
2025,"OTHER",345,98
2025,"PERSON",392,721
2025,"PROPERTY",259,662
2025,"SEX/NON-REGISTERABLE",1134,12
2025,"SEX/REGISTERABLE",910,454
2025,"WEAPONS",301,99
2010,"All Offenses Combined",369,3035
2011,"All Offenses Combined",392,3143
2012,"All Offenses Combined",432,3017
2013,"All Offenses Combined",427,2935
2014,"All Offenses Combined",454,2956
2015,"All Offenses Combined",453,3320
2016,"All Offenses Combined",322,3600
2017,"All Offenses Combined",229,3609
2018,"All Offenses Combined",278,3503
2019,"All Offenses Combined",295,4033
2020,"All Offenses Combined",314,4160
2021,"All Offenses Combined",294,3154
2022,"All Offenses Combined",266,3509
2023,"All Offenses Combined",245,3209
2024,"All Offenses Combined",350,3129
2025,"All Offenses Combined",350,2730
