"year","primary_ofnse_degree","median_los","n"
2010,"F1",2655.5,70
2010,"F2",868,232
2010,"F3",453,515
2010,"FC",12034,2
2011,"F1",2793,86
2011,"F2",817,251
2011,"F3",481,570
2011,"FC",10255,1
2012,"F1",2828,81
2012,"F2",825,239
2012,"F3",523,644
2012,"FC",2826,1
2013,"F1",2897.5,88
2013,"F2",980,232
2013,"F3",531,558
2013,"FC",7866,1
2014,"F1",2773,83
2014,"F2",1146,251
2014,"F3",547,523
2015,"F1",3113,103
2015,"F2",1065.5,334
2015,"F3",565,561
2015,"FC",8548,1
2016,"F1",2955.5,100
2016,"F2",1223,271
2016,"F3",544,468
2016,"FC",11653,1
2017,"F1",2918,110
2017,"F2",974,283
2017,"F3",509,417
2017,"FC",8764,2
2018,"F1",2861,113
2018,"F2",1141,285
2018,"F3",467,391
2018,"FC",5611,3
2019,"F1",2847,151
2019,"F2",1099,303
2019,"F3",483,336
2019,"FC",8905,3
2020,"F1",3015,198
2020,"F2",1070,371
2020,"F3",471.5,370
2020,"FC",10393,7
2021,"F1",3415,147
2021,"F2",1049.5,238
2021,"F3",644,207
2021,"FC",8177.5,4
2022,"F1",3339,130
2022,"F2",1178.5,210
2022,"F3",623,178
2023,"F1",2447.5,118
2023,"F2",1105.5,198
2023,"F3",542.5,170
2023,"FC",2408,1
2024,"F1",2354,108
2024,"F2",994,225
2024,"F3",574,244
2024,"FC",8969.5,2
2025,"F1",2616.5,138
2025,"F2",1011.5,196
2025,"F3",623,187
2025,"FC",12508.5,2
2026,"F1",2595,68
2026,"F2",1029,129
2026,"F3",651,135
2010,"All Offense Degrees Combined",561,819
2011,"All Offense Degrees Combined",565,908
2012,"All Offense Degrees Combined",609,965
2013,"All Offense Degrees Combined",660,879
2014,"All Offense Degrees Combined",721,857
2015,"All Offense Degrees Combined",761,999
2016,"All Offense Degrees Combined",772.5,840
2017,"All Offense Degrees Combined",789,812
2018,"All Offense Degrees Combined",854,792
2019,"All Offense Degrees Combined",936,793
2020,"All Offense Degrees Combined",958,946
2021,"All Offense Degrees Combined",1118.5,596
2022,"All Offense Degrees Combined",1221.5,518
2023,"All Offense Degrees Combined",1043,487
2024,"All Offense Degrees Combined",868,579
2025,"All Offense Degrees Combined",1022,523
2026,"All Offense Degrees Combined",976.5,332
