"year","primary_ofnse_typ","median_los","n"
2010,"ALCOHOL & DRUG",183.5,128
2010,"DRIVING",174,88
2010,"DRUG POSSESSION ONLY",180,132
2010,"MURDER",156,14
2010,"OTHER",124,23
2010,"PERSON",184,147
2010,"PROPERTY",182,330
2010,"SEX/REGISTERABLE",227,138
2010,"WEAPONS",179.5,14
2011,"ALCOHOL & DRUG",181,121
2011,"DRIVING",182,78
2011,"DRUG POSSESSION ONLY",176.5,90
2011,"MURDER",151,18
2011,"OTHER",155,19
2011,"PERSON",182,164
2011,"PROPERTY",181,263
2011,"SEX/NON-REGISTERABLE",61,1
2011,"SEX/REGISTERABLE",200,152
2011,"WEAPONS",159,21
2012,"ALCOHOL & DRUG",170.5,108
2012,"DRIVING",190,63
2012,"DRUG POSSESSION ONLY",176,85
2012,"MURDER",181.5,12
2012,"OTHER",185,20
2012,"PERSON",181,130
2012,"PROPERTY",182,266
2012,"SEX/REGISTERABLE",191,111
2012,"WEAPONS",180,19
2013,"ALCOHOL & DRUG",179.5,86
2013,"DRIVING",181,63
2013,"DRUG POSSESSION ONLY",177,64
2013,"MURDER",187,11
2013,"OTHER",267,15
2013,"PERSON",175,164
2013,"PROPERTY",181,248
2013,"SEX/REGISTERABLE",188,111
2013,"WEAPONS",269,18
2014,"ALCOHOL & DRUG",182,97
2014,"DRIVING",179,70
2014,"DRUG POSSESSION ONLY",176.5,84
2014,"MURDER",165,14
2014,"OTHER",181,18
2014,"PERSON",184,166
2014,"PROPERTY",180.5,284
2014,"SEX/REGISTERABLE",222.5,134
2014,"WEAPONS",241.5,12
2015,"ALCOHOL & DRUG",143.5,114
2015,"DRIVING",181,58
2015,"DRUG POSSESSION ONLY",130,112
2015,"MURDER",257,13
2015,"OTHER",176.5,32
2015,"PERSON",175.5,196
2015,"PROPERTY",147,330
2015,"SEX/NON-REGISTERABLE",972,1
2015,"SEX/REGISTERABLE",181,139
2015,"WEAPONS",124,18
2016,"ALCOHOL & DRUG",93,177
2016,"DRIVING",105,78
2016,"DRUG POSSESSION ONLY",82,117
2016,"MURDER",188,19
2016,"OTHER",90,33
2016,"PERSON",120,265
2016,"PROPERTY",91,443
2016,"SEX/NON-REGISTERABLE",90.5,2
2016,"SEX/REGISTERABLE",126,163
2016,"WEAPONS",118,23
2017,"ALCOHOL & DRUG",115,173
2017,"DRIVING",120,87
2017,"DRUG POSSESSION ONLY",75.5,108
2017,"MURDER",135,21
2017,"OTHER",117.5,50
2017,"PERSON",125,259
2017,"PROPERTY",111,420
2017,"SEX/NON-REGISTERABLE",97,4
2017,"SEX/REGISTERABLE",138,145
2017,"WEAPONS",84,36
2018,"ALCOHOL & DRUG",120,131
2018,"DRIVING",118.5,72
2018,"DRUG POSSESSION ONLY",98,94
2018,"MURDER",168,21
2018,"OTHER",112.5,36
2018,"PERSON",128,245
2018,"PROPERTY",119,395
2018,"SEX/NON-REGISTERABLE",45.5,2
2018,"SEX/REGISTERABLE",167,153
2018,"WEAPONS",125,39
2019,"ALCOHOL & DRUG",117,193
2019,"DRIVING",117,100
2019,"DRUG POSSESSION ONLY",98,96
2019,"MURDER",239.5,24
2019,"OTHER",106.5,40
2019,"PERSON",122,402
2019,"PROPERTY",117,528
2019,"SEX/NON-REGISTERABLE",209,3
2019,"SEX/REGISTERABLE",155,141
2019,"WEAPONS",117,47
2020,"ALCOHOL & DRUG",117,177
2020,"DRIVING",133,77
2020,"DRUG POSSESSION ONLY",105,67
2020,"MURDER",175.5,16
