date,quarter_label,year,quarter,series,kind,actual,central,low,high
2010-01-01,2010 Q1,2010,1,Female,actual,563.2,563.2,563.2,563.2
2010-04-01,2010 Q2,2010,2,Female,actual,542.4,542.4,542.4,542.4
2010-07-01,2010 Q3,2010,3,Female,actual,569.5,569.5,569.5,569.5
2010-10-01,2010 Q4,2010,4,Female,actual,593.4,593.4,593.4,593.4
2011-01-01,2011 Q1,2011,1,Female,actual,600.6,600.6,600.6,600.6
2011-04-01,2011 Q2,2011,2,Female,actual,591.9,591.9,591.9,591.9
2011-07-01,2011 Q3,2011,3,Female,actual,568.9,568.9,568.9,568.9
2011-10-01,2011 Q4,2011,4,Female,actual,578.4,578.4,578.4,578.4
2012-01-01,2012 Q1,2012,1,Female,actual,607.6,607.6,607.6,607.6
2012-04-01,2012 Q2,2012,2,Female,actual,605.4,605.4,605.4,605.4
2012-07-01,2012 Q3,2012,3,Female,actual,617.6,617.6,617.6,617.6
2012-10-01,2012 Q4,2012,4,Female,actual,635,635,635,635
2013-01-01,2013 Q1,2013,1,Female,actual,648.7,648.7,648.7,648.7
2013-04-01,2013 Q2,2013,2,Female,actual,682.5,682.5,682.5,682.5
2013-07-01,2013 Q3,2013,3,Female,actual,669.9,669.9,669.9,669.9
2013-10-01,2013 Q4,2013,4,Female,actual,676.8,676.8,676.8,676.8
2014-01-01,2014 Q1,2014,1,Female,actual,647,647,647,647
2014-04-01,2014 Q2,2014,2,Female,actual,636.9,636.9,636.9,636.9
2014-07-01,2014 Q3,2014,3,Female,actual,631.3,631.3,631.3,631.3
2014-10-01,2014 Q4,2014,4,Female,actual,644.1,644.1,644.1,644.1
2015-01-01,2015 Q1,2015,1,Female,actual,622,622,622,622
2015-04-01,2015 Q2,2015,2,Female,actual,578.2,578.2,578.2,578.2
2015-07-01,2015 Q3,2015,3,Female,actual,562.8,562.8,562.8,562.8
2015-10-01,2015 Q4,2015,4,Female,actual,530.3,530.3,530.3,530.3
2016-01-01,2016 Q1,2016,1,Female,actual,493.1,493.1,493.1,493.1
2016-04-01,2016 Q2,2016,2,Female,actual,470.7,470.7,470.7,470.7
2016-07-01,2016 Q3,2016,3,Female,actual,432.4,432.4,432.4,432.4
2016-10-01,2016 Q4,2016,4,Female,actual,421.1,421.1,421.1,421.1
2017-01-01,2017 Q1,2017,1,Female,actual,416.1,416.1,416.1,416.1
2017-04-01,2017 Q2,2017,2,Female,actual,443.4,443.4,443.4,443.4
2017-07-01,2017 Q3,2017,3,Female,actual,468.9,468.9,468.9,468.9
2017-10-01,2017 Q4,2017,4,Female,actual,472,472,472,472
2018-01-01,2018 Q1,2018,1,Female,actual,492.1,492.1,492.1,492.1
2018-04-01,2018 Q2,2018,2,Female,actual,540.7,540.7,540.7,540.7
2018-07-01,2018 Q3,2018,3,Female,actual,556.6,556.6,556.6,556.6
2018-10-01,2018 Q4,2018,4,Female,actual,571.5,571.5,571.5,571.5
2019-01-01,2019 Q1,2019,1,Female,actual,580.9,580.9,580.9,580.9
2019-04-01,2019 Q2,2019,2,Female,actual,593.6,593.6,593.6,593.6
2019-07-01,2019 Q3,2019,3,Female,actual,599.7,599.7,599.7,599.7
2019-10-01,2019 Q4,2019,4,Female,actual,591,591,591,591
